mr_id,mr_title,author,repo,total_changed_lines,added_lines,deleted_lines,changed_files_count,max_file_changed_lines,code_files_count,test_files_count,has_only_test_change,has_only_doc_change,code_lines_ratio,modified_methods_count,max_method_complexity,max_method_lines,max_nesting_level,has_new_dependency,has_database_migration,has_api_change,has_breaking_change,has_unit_test,unit_test_coverage,test_coverage_change,new_test_count,test_to_code_ratio,ci_build_passed,ci_unit_test_passed,ci_lint_passed,lint_issues_count,security_vulnerabilities,code_smells_count,author_total_mrs,author_mrs_last_30d,author_merge_rate_30d,author_revert_rate_30d,is_first_mr,is_core_contributor,author_days_in_repo,author_avg_mr_size,author_bug_fix_count_30d,commit_count,avg_commit_size,commit_message_quality,repo_importance_score,is_repo_owner,is_maintainer,involves_payment,involves_pii,involves_auth,involves_security,modifies_critical_file,has_todo_or_fixme,can_auto_merge
MR-00022,Feature/Fix #22,author_12,repo_7,67,21,8,1,34,2,1,1,0,0.7463090632940055,7,6.571047029993375,10,3,0,0,0,0,0,75.50178033353725,9.533887185226387,3,0.2849400909675014,1,1,1,1,1,1,49,0,0.3799367185497377,0.0673150679047994,0,1,181,421,2,5,24,6.573243194398657,5.370159652664855,0,0,0,0,0,0,0,0,1
MR-00023,Feature/Fix #23,author_6,repo_5,128,48,15,3,7,5,2,0,0,0.8572251504536053,1,9.1182905959836,10,4,0,0,0,1,0,66.76462419809567,-1.1113460744358796,2,0.4628535861770591,1,1,1,3,0,2,97,3,0.8366881832824922,0.0077700573820245,0,0,2,70,2,3,10,6.163792544527377,8.211888499505207,0,0,0,0,0,0,0,0,0
MR-00024,Feature/Fix #24,author_2,repo_4,62,91,0,10,225,2,0,0,0,0.7650054176429711,4,1.9223276673635783,29,3,0,0,0,1,1,68.79629968735469,-3.725814896787329,1,0.4601692765003623,0,0,1,2,0,3,17,2,0.8646267213657206,0.0230302253940706,0,0,436,265,0,1,44,6.7851681881913,5.794429764059005,0,1,0,0,0,0,0,0,0
MR-00025,Feature/Fix #25,author_21,repo_7,37,14,38,4,14,2,1,0,0,0.6784996232462757,5,9.149643162954206,11,2,0,0,0,0,0,73.25560682281407,9.36488663541438,1,0.1162969112863201,1,1,1,2,0,1,5,6,0.9016824586792064,0.0278141568429959,0,0,67,32,2,4,25,9.128887681575774,6.6213176079988365,0,1,0,0,0,0,0,1,0
MR-00026,Feature/Fix #26,author_1,repo_7,27,1,9,4,82,5,0,0,0,0.8891294508412318,3,3.3044643321270275,39,1,0,0,0,0,0,61.59438082869181,-1.4050184283759166,7,0.4351157486539441,1,1,1,2,1,3,6,6,0.6510032500662742,0.0262722627960027,0,0,48,248,3,2,18,5.1250875851382895,6.836709034573888,1,1,0,0,0,0,0,0,0
MR-00027,Feature/Fix #27,author_12,repo_6,1,34,48,3,103,1,3,0,0,0.4979202919431379,4,9.625445499583527,40,2,1,0,0,0,1,74.17740873887428,-10.93408299757175,1,0.3990121728409689,1,0,1,1,0,3,14,6,0.8191913256781623,0.006271592186256,0,0,213,24,2,5,24,8.000265647625472,7.749547086091747,0,0,0,0,0,0,0,0,0
MR-00028,Feature/Fix #28,author_22,repo_8,166,20,40,2,104,2,2,0,0,0.7109476911673067,2,11.619848980555403,33,5,0,0,1,0,1,80.48292283133603,5.335183181258364,5,0.2846068895528507,1,1,1,6,1,5,86,5,0.4605458185264475,0.0289409992220881,1,0,60,48,1,3,10,6.281787142616329,6.532243772770764,0,0,0,0,0,0,0,0,0
MR-00029,Feature/Fix #29,author_12,repo_4,19,14,27,3,48,0,1,0,1,0.7969114725987504,2,4.619699205752088,42,8,0,0,1,0,1,62.58823974389194,-7.275671009258455,1,0.1931278231543018,1,1,1,6,0,3,9,4,0.6895455810127934,0.0278757154214953,0,0,2000,11,1,3,78,6.470863224524452,6.378747062390298,0,0,0,0,0,0,0,0,1
MR-00030,Feature/Fix #30,author_17,repo_10,6,9,9,6,10,4,2,1,0,0.7251552891565768,5,4.939796455827903,13,4,0,0,1,0,0,46.05689946434968,-8.746771453968613,2,0.0661688839585921,0,1,0,8,0,0,183,3,0.8217105513412623,0.1678584134786595,0,0,100,18,1,1,93,6.478394107878696,5.580418213156261,0,0,0,0,0,0,0,0,1
MR-00031,Feature/Fix #31,author_10,repo_5,43,17,18,5,5,3,1,0,0,0.5634520033873045,4,9.816184274402904,10,3,0,0,0,0,0,82.17857584087754,-4.500951732413131,2,0.2251779376002146,1,1,1,4,1,4,24,8,0.8881647111159139,0.1510997252946145,0,0,55,259,3,5,27,4.622502447759754,8.309429114663114,0,0,0,0,0,0,0,1,0
MR-00032,Feature/Fix #32,author_16,repo_4,13,10,14,5,29,4,1,0,0,0.8127684398410259,4,9.509998147961568,10,4,0,1,0,0,1,58.77676104207104,-4.353437359563808,1,0.1960074604285853,1,1,1,3,0,3,7,7,0.7115220837008519,0.1252954818290929,0,0,2000,30,4,1,10,7.864660183076919,6.30434511679514,0,0,0,0,0,0,0,0,0
MR-00033,Feature/Fix #33,author_15,repo_1,35,35,10,4,15,3,0,0,0,0.6652259727381286,4,9.616768602244502,37,6,0,0,0,0,1,67.49526152820388,1.6843198133327966,4,0.2565260013884437,1,1,1,6,1,2,4,5,0.7964198105422818,0.0416985180965609,0,1,19,23,5,5,10,6.963099173701571,5.597994511231965,1,0,0,0,0,0,0,0,0
MR-00034,Feature/Fix #34,author_15,repo_8,35,19,47,3,62,2,2,0,0,0.6083897110413586,7,9.815607373934569,30,3,0,0,0,1,1,58.23883031892397,-3.610542874769296,4,0.1064871354103542,1,1,1,5,0,0,26,3,0.7768901177621328,0.0135979097000493,0,0,88,148,4,3,16,8.989028705114855,6.112695519258469,0,0,0,0,0,0,1,0,0
MR-00035,Feature/Fix #35,author_19,repo_1,23,52,16,2,47,0,4,0,0,0.7954814189933681,3,5.426146744566333,14,4,0,0,0,0,0,30.93431796261535,-10.405361265339277,1,0.2542659006663979,1,1,1,3,0,2,42,6,0.7417162934257817,0.0188458376120825,1,0,201,10,1,5,34,7.00945346986212,6.812060821227092,0,0,0,0,0,0,0,0,0
MR-00036,Feature/Fix #36,author_12,repo_5,72,19,44,3,11,2,2,0,1,0.729577046013657,6,12.36359835752016,14,6,0,1,0,0,1,69.17873102815402,4.469665846184442,3,0.5765519272929974,1,1,1,4,1,3,107,5,0.8616027696139913,0.166201844138502,0,0,29,21,0,1,88,6.604513447444576,5.07218854389594,0,0,0,0,0,0,0,0,1
MR-00037,Feature/Fix #37,author_23,repo_6,12,6,2,4,5,2,2,0,0,0.736772327759684,5,11.229393227016551,10,3,0,0,0,0,1,48.1626960382281,-3.562764492826485,1,0.4062063110534991,1,1,1,0,1,3,108,2,0.8578946153724115,0.0528775792515771,0,0,248,136,1,2,10,6.351272995407733,8.586736316493571,0,0,0,0,0,1,0,0,0
MR-00038,Feature/Fix #38,author_20,repo_6,23,47,3,6,9,4,1,0,0,0.7027008357192831,5,3.674349397729558,14,5,0,0,0,0,1,71.9067005899906,-2.6106843846654044,2,0.3031988108764235,1,1,0,5,1,0,42,3,0.9073252561213244,0.0764111229980178,0,0,108,21,4,5,47,5.988760379663669,5.586487574607256,0,0,0,0,0,0,0,0,0
MR-00039,Feature/Fix #39,author_3,repo_5,30,20,94,2,29,2,1,1,0,0.4026194078982997,5,2.537335258385683,12,2,0,0,0,0,0,36.635848158109056,-2.593709642210964,0,0.5030455103231967,1,1,1,2,0,2,4,5,0.8797400025362281,0.0135353409246051,0,0,31,34,3,1,70,5.930146575926599,3.626610725790592,0,1,0,0,1,0,0,0,1
MR-00040,Feature/Fix #40,author_5,repo_3,43,5,22,3,5,1,1,0,0,0.5655618880018722,5,11.61141291772604,125,3,0,0,0,0,1,64.24692526363988,-3.241234274851826,0,0.0920424866667384,1,1,0,4,0,2,7,4,0.7146742167180824,0.062573511436023,0,0,2,29,2,1,65,9.108411176101564,4.856329802281815,0,1,0,0,0,1,0,0,0
MR-00041,Feature/Fix #41,author_19,repo_5,61,24,17,3,37,3,2,0,0,0.5758271012711794,3,4.468310655345651,24,6,0,0,0,0,1,26.021846164655194,1.465486925972667,2,0.6033011865093152,1,1,0,2,0,3,11,2,0.7491603321758956,0.0565596770212712,0,0,1060,10,0,7,10,7.841143772753816,7.570937694819438,0,0,0,0,0,0,0,0,1
MR-00042,Feature/Fix #42,author_7,repo_8,20,11,18,1,38,2,1,0,0,0.5201042047610902,5,8.979853071744648,30,5,0,0,0,0,1,51.65077171010278,-1.8574654595398967,0,0.7413385905864072,1,1,1,3,0,7,361,2,0.8922557750107427,0.0978389694291031,0,0,794,219,1,5,39,7.503373664553754,6.011178801776687,0,0,0,0,0,0,0,0,1
MR-00043,Feature/Fix #43,author_21,repo_2,41,46,6,3,6,2,1,0,0,0.6294751645790062,4,8.1236693797093,10,3,0,0,0,0,0,72.26927313091167,-3.964706435078397,2,0.0650861643445392,1,1,1,4,0,7,40,6,0.3413381851085409,0.0796999294023337,0,0,1,57,1,4,60,4.892624025967693,5.915231167277901,0,0,0,0,0,0,0,0,1
MR-00044,Feature/Fix #44,author_9,repo_6,6,15,31,4,31,1,0,1,0,0.5320164885242729,3,8.79410827312946,61,5,0,0,0,0,0,52.26837235789886,4.350785961787484,0,0.7139295961306565,1,1,1,3,0,5,23,2,0.8215386234077519,0.0940848698863187,0,0,42,31,2,2,36,5.713550474231029,8.411163178585511,0,0,0,0,0,1,0,0,1
MR-00045,Feature/Fix #45,author_7,repo_9,107,32,2,4,32,4,3,0,0,0.6265676176217109,2,7.68515349807505,49,1,0,0,0,0,0,66.28009658527098,3.9220463727704593,1,0.0350186477693534,0,0,1,3,0,3,21,5,0.8762281770166155,0.1156184555840996,0,1,73,19,4,3,31,6.419596250392241,6.611343566418682,0,0,0,0,0,0,1,0,0
MR-00046,Feature/Fix #46,author_18,repo_8,19,2,21,5,22,1,1,0,0,0.9148202993251702,5,5.004346821524356,25,3,0,0,1,0,0,41.94978429365222,-3.5901047571234512,3,0.1913123912199422,1,1,1,4,2,2,44,7,0.5658550074624674,0.0044758480041505,0,0,63,10,3,2,23,6.901880936887874,7.316791948567229,0,0,0,0,0,0,0,0,0
MR-00047,Feature/Fix #47,author_4,repo_11,52,12,21,5,107,2,3,0,0,0.654328205252447,3,7.461000396072626,52,2,0,0,1,0,1,76.37417156621811,-0.9605462294729076,2,0.599129909205577,1,1,1,6,0,3,108,3,0.9606624876243406,0.1083273767971529,0,0,11,30,1,3,10,7.937599899509241,4.911094454965464,0,0,0,0,0,0,0,1,0
MR-00048,Feature/Fix #48,author_14,repo_8,1,102,61,2,5,2,2,0,0,0.7388622599199516,4,6.9050006094233325,10,2,0,0,0,0,0,72.86791713923513,-0.3784356386370546,5,0.5552129873044198,0,1,0,2,0,0,38,4,0.7218281621741262,0.0529771944331944,0,1,13,55,3,5,10,7.414632601537738,5.892150774338887,0,0,0,0,0,0,0,0,0
MR-00049,Feature/Fix #49,author_18,repo_8,9,41,18,2,18,3,2,0,0,0.5150842500695273,2,5.145243501074942,20,1,0,0,0,0,1,53.58794138928749,6.485199584995617,1,0.5888313681572706,1,1,1,0,1,2,7,3,0.7882362078590935,0.0710441915575358,0,0,43,360,1,2,20,6.933983600663217,9.219606579753249,0,0,0,0,0,0,0,0,0
MR-00050,Feature/Fix #50,author_9,repo_7,26,4,3,6,75,5,1,0,0,0.5192402181428467,4,5.446484684546494,10,3,1,0,0,0,1,65.37508785010944,4.417873312953919,4,0.2952294243387909,0,1,1,5,0,2,30,6,0.8177228094141856,0.0021063091242216,0,0,13,192,3,2,20,7.898203165881261,4.845188951803727,0,0,0,0,0,1,0,1,0
MR-00051,Feature/Fix #51,author_21,repo_8,84,8,21,4,17,3,2,0,0,0.6044251975216108,3,7.971811500905808,31,3,0,0,0,0,0,60.83995126319313,-24.484998192591604,2,0.5453041066189378,0,1,1,2,0,2,16,3,0.9024103860128252,0.0563123921567938,0,0,27,156,3,3,11,6.330959342247176,5.5700001621040025,0,0,0,0,0,0,0,0,0
MR-00052,Feature/Fix #52,author_2,repo_6,29,10,2,2,19,3,0,0,0,0.7181749122094583,5,10.204845460479042,34,4,0,1,0,0,1,63.4607890249568,-4.9232618067700695,2,0.2487433510988731,0,1,1,8,0,4,9,1,0.545235274419083,0.1431789789975951,0,0,724,19,0,1,10,7.189762047534835,4.941403248227037,0,0,0,0,0,0,0,0,0
MR-00053,Feature/Fix #53,author_20,repo_2,106,26,5,2,38,2,2,0,0,0.7246812113363593,5,7.463639781438322,148,6,0,0,0,0,1,76.82679180828862,1.5071391681412296,5,0.5533362263748262,1,1,0,9,1,3,19,1,0.951527940166228,0.2181031220887593,0,0,14,97,3,4,117,8.272533846388034,5.5819485463422085,0,0,0,0,0,0,0,0,0
MR-00054,Feature/Fix #54,author_15,repo_2,26,35,0,2,38,1,0,0,0,0.786167830647451,4,6.126842253182067,10,4,0,0,0,0,1,73.76700151629667,9.153339913815064,1,0.2709752623790488,0,1,1,3,1,2,46,3,0.6895348813925494,0.0068288527962181,0,0,34,100,1,2,10,6.151630398339053,6.021137191568101,0,1,0,0,0,0,0,1,0
MR-00055,Feature/Fix #55,author_7,repo_8,26,34,18,3,5,5,1,0,0,0.8965456134399269,9,3.619752083888738,15,4,0,0,0,0,1,82.3085893224597,5.526104451067023,1,0.4776360798989887,1,1,1,9,1,1,5,3,0.8048527194019559,0.0325127437616462,0,1,5,38,2,4,35,9.497518305460124,5.698770331511273,0,0,0,0,0,0,0,0,1
MR-00056,Feature/Fix #56,author_12,repo_11,5,17,2,3,21,1,2,0,0,0.6025128811915313,5,2.006330248584791,103,3,0,0,0,0,0,76.55927535559692,2.697319229936612,2,0.2617690288196095,1,1,1,4,0,2,110,3,0.784014614696538,0.0218892136371469,1,0,944,99,3,3,10,8.138463491927428,3.990064574354535,0,0,0,0,0,0,0,0,1
MR-00057,Feature/Fix #57,author_8,repo_1,64,41,15,5,14,2,1,0,0,0.6973284353752826,7,3.2165052112375667,121,3,1,0,0,0,0,50.33165867596868,-5.763813645257262,1,0.2036622253633024,1,1,0,2,0,1,1,6,0.5970335888815649,0.0050273611749787,1,0,111,13,3,1,77,6.685031331377809,7.303697421318091,0,0,0,0,0,0,0,0,0
MR-00058,Feature/Fix #58,author_15,repo_6,11,14,67,9,34,2,2,0,0,0.7587659394006967,1,2.953168709882756,29,1,0,0,0,0,0,70.40322969150719,-1.0087312425645445,2,0.3055290662983406,1,0,1,2,0,1,16,3,0.9644550063734968,0.0191450206885412,0,1,124,645,2,4,14,5.502584180616006,8.558508468231775,0,0,0,0,0,0,0,1,0
MR-00059,Feature/Fix #59,author_3,repo_6,91,3,31,9,28,2,0,0,0,0.6362582022196283,6,4.037325439806745,29,2,0,0,0,1,1,56.30398231759878,8.164773136451021,0,0.5889042052947664,1,1,1,2,0,1,29,2,0.8640862519371504,0.077423282035426,0,0,25,52,1,5,54,8.410453915712814,7.015664742143725,0,1,0,0,0,0,0,1,0
MR-00060,Feature/Fix #60,author_14,repo_11,96,20,2,3,36,2,0,0,0,0.5589393485184967,4,11.33059586743353,19,1,0,0,0,0,0,57.76713577368982,-1.1718902608721495,1,0.1800492119589181,1,1,1,4,1,1,50,6,0.798726275121273,0.1707353812316388,0,0,1298,18,1,5,44,5.248944079944172,6.119090277329231,0,0,0,0,0,0,0,0,0
MR-00061,Feature/Fix #61,author_17,repo_4,114,76,6,1,37,2,1,0,0,0.694662829066236,5,3.9056169892170343,10,2,0,0,0,0,0,70.57610070657795,-5.809597815749322,0,0.4819882532098456,1,0,1,5,0,2,500,3,0.9157241461602764,0.0249848987141723,0,0,33,329,2,4,129,7.577953732697239,4.6991044852451065,0,0,0,0,0,0,0,0,0
MR-00062,Feature/Fix #62,author_4,repo_11,29,39,27,4,10,0,2,0,0,0.8737401337501671,6,4.289430825758561,10,2,0,0,0,0,0,77.3271458722979,4.4765700008950775,2,0.2948332537190968,1,1,1,0,0,2,10,6,0.881217689281594,0.18888366982049,0,0,260,135,0,3,10,5.987654715318287,6.7301817860213085,0,0,0,0,0,0,0,0,0
MR-00063,Feature/Fix #63,author_18,repo_11,45,21,56,6,9,4,1,0,0,0.638650280111531,4,7.636862013438922,16,2,0,0,0,0,0,76.68274105188263,-0.989199188350152,5,0.4485685194778257,1,1,1,6,1,3,15,6,0.6534025468537842,0.0127345690047064,1,0,38,208,2,1,63,4.532818890258225,5.454527154408329,0,1,0,0,0,0,0,0,0
MR-00064,Feature/Fix #64,author_8,repo_10,60,26,0,4,16,3,1,0,0,0.3793094216700933,3,6.965312902255972,14,3,0,0,0,0,0,85.85160810937049,-2.512304198822136,2,0.3887795979691739,1,1,1,1,0,3,19,3,0.959472884365093,0.0259640366657478,1,0,10,506,3,2,121,6.747295356752616,6.662994721233616,0,1,0,0,0,0,0,0,0
MR-00065,Feature/Fix #65,author_4,repo_3,5,66,41,5,9,1,0,1,0,0.8661550912612038,5,10.213899271030533,28,3,1,0,0,0,0,60.78418840661565,3.2293701778398134,0,0.3905670618246444,1,1,0,4,0,3,14,1,0.8996033570961999,0.0139856554778406,0,0,472,158,2,6,51,6.539096445367896,9.553296185263866,0,0,0,0,0,0,0,0,1
MR-00066,Feature/Fix #66,author_2,repo_11,36,13,20,3,40,3,2,0,0,0.6606823580393314,4,4.586655237454579,14,1,0,0,0,0,1,62.180406957816736,-3.861934255486364,3,0.259211388863672,1,1,1,1,0,2,202,4,0.8417914450739549,0.1061069206464596,0,0,186,25,4,3,161,8.966497356817724,5.229231200243691,0,0,1,0,0,0,0,0,0
MR-00067,Feature/Fix #67,author_6,repo_3,1,10,19,5,32,0,0,0,0,0.8574128247876492,3,6.4955748477598085,19,2,0,0,0,0,1,45.76654550484916,6.715091998087765,3,0.4414483936297194,1,1,1,3,0,4,41,5,0.7617328705726077,0.0840455614528996,0,1,129,73,3,1,41,8.867114040344246,5.392986205799612,0,1,0,0,0,0,0,0,1
MR-00068,Feature/Fix #68,author_22,repo_1,27,94,79,8,8,1,0,0,0,0.5656063356422469,4,3.4717936653553045,32,2,0,0,0,0,1,92.56177865527148,-6.872911177461797,2,0.6939930760481221,1,0,1,2,0,0,49,6,0.9274302896904107,0.0317891593537798,0,1,402,10,4,4,28,8.025726807649866,4.8734950194983,0,0,0,0,0,0,0,1,0
MR-00069,Feature/Fix #69,author_10,repo_3,6,49,34,6,75,1,1,0,0,0.5627996195746666,0,7.397831909355032,42,1,0,0,0,0,1,74.45874100157303,6.638597231952223,0,0.2208388005854182,1,1,1,2,0,3,6,7,0.724076372852244,0.0584521521105769,0,0,141,23,0,6,42,8.994846703212046,6.15559168260881,0,0,0,0,0,0,1,0,0
MR-00070,Feature/Fix #70,author_4,repo_4,8,9,47,1,21,4,2,0,0,0.5554219527894146,3,7.538262420715379,10,2,0,0,0,0,1,73.81427637822462,-1.6231624941963845,3,0.2713058673768822,1,1,0,2,0,2,10,6,0.7538521296386881,0.0852215657622919,0,0,64,75,3,3,113,7.373191673105284,6.3058689490673325,0,1,0,1,0,0,0,0,1
